ldong_code,univ_code,time
1111010500,U016,28
1111010500,U013,62
1111010500,U014,54
1111010500,U017,52
1111010500,U015,82
1111010500,U018,55
1111010500,U019,77
1111010500,U020,57
1111010500,U022,38
1111010500,U021,86
1111010500,U023,68
1111010500,U024,78
1111010500,U025,78
1111010500,U027,46
1111010500,U026,76
1111010500,U029,63
1111010500,U028,53
1111010500,U030,62
1111010500,U031,51
1111010500,U032,68
1111010500,U033,41
1111010500,U034,75
1111010500,U035,40
1111010500,U036,68
1111010500,U037,68
1111010500,U039,51
1111010500,U038,66
1111010500,U040,73
1111010500,U041,72
1111010500,U042,60
1111010500,U043,71
1111010500,U044,54
1111010500,U045,68
1111010500,U046,53
1111010500,U047,59
1111010500,V001,53
1111010500,V002,44
1111010600,C003,15
1111010600,B001,39
1111010600,C001,71
1111010600,C005,34
1111010600,C002,49
1111010600,C004,57
1111010600,C006,63
1111010600,C007,44
1111010600,C009,53
1111010600,E001,52
1111010600,C008,67
1111010600,M001,62
1111010600,P001,70
1111010600,P002,49
1111010600,U001,51
1111010600,U002,52
1111010600,U005,36
1111010600,U003,29
1111010600,U004,61
1111010600,U006,55
1111010600,U007,51
1111010600,U009,41
1111010600,U008,64
1111010600,U010,68
1111010600,U012,43
1111010600,U011,67
1111010600,U013,56
1111010600,U016,29
1111010600,U014,50
1111010600,U015,76
1111010600,U017,46
1111010600,U020,58
1111010600,U018,56
1111010600,U019,72
1111010600,U022,40
1111010600,U021,80
1111010600,U023,61
1111010600,U024,72
1111010600,U027,42
1111010600,U025,76
1111010600,U026,74
1111010600,U028,55
1111010600,U030,66
1111010600,U029,56
1111010600,U031,48
1111010600,U032,62
1111010600,U033,36
1111010600,U035,34
1111010600,U034,70
1111010600,U038,61
1111010600,U039,45
1111010600,U037,65
1111010600,U040,68
1111010600,U036,62
1111010600,U043,65
1111010600,U042,53
1111010600,U041,66
1111010600,U044,48
1111010600,U045,67
1111010600,U046,47
1111010600,V001,47
1111010600,U047,51
1111010600,V002,32
1111010700,C003,15
1111010700,B001,36
1111010700,C005,40
1111010700,C002,55
1111010700,C001,67
1111010700,C004,56
1111010700,C006,63
1111010700,C009,52
1111010700,C007,49
1111010700,E001,50
1111010700,C008,65
1111010700,M001,61
1111010700,P002,48
1111010700,P001,70
1111010700,U001,48
1111010700,U002,50
1111010700,U005,37
1111010700,U003,31
1111010700,U004,59
1111010700,U006,53
1111010700,U007,49
1111010700,U009,47
1111010700,U008,62
1111010700,U010,70
1111010700,U012,41
1111010700,U011,66
1111010700,U013,54
1111010700,U016,34
1111010700,U014,52
1111010700,U015,75
1111010700,U017,48
1111010700,U018,63
1111010700,U020,49
1111010700,U019,70
1111010700,U022,38
1111010700,U021,79
1111010700,U024,71
1111010700,U023,59
1111010700,U025,75
1111010700,U026,77
1111010700,U027,41
1111010700,U028,52
1111010700,U029,55
1111010700,U030,55
1111010700,U031,46
1111010700,U032,61
1111010700,U033,38
1111010700,U035,36
1111010700,U036,62
1111010700,U034,68
1111010700,U037,63
1111010700,U039,47
1111010700,U038,59
1111010700,U040,65
1111010700,U041,65
1111010700,U042,52
1111010700,U043,65
1111010700,U044,46
1111010700,V002,30
1111010700,U045,66
1111010700,U046,45
1111010700,V001,46
1111010700,U047,47
1111010800,C003,15
1111010800,B001,42
1111010800,C002,49
1111010800,C001,73
1111010800,C005,34
1111010800,C004,62
1111010800,C006,67
1111010800,C007,46
1111010800,C009,58
1111010800,E001,57
1111010800,C008,71
1111010800,P001,73
1111010800,M001,67
1111010800,P002,52
1111010800,U001,54
1111010800,U002,57
1111010800,U004,65
1111010800,U003,32
1111010800,U006,59
1111010800,U007,56
1111010800,U005,39
1111010800,U009,41
1111010800,U008,68
1111010800,U010,71
1111010800,U011,75
1111010800,U012,48
1111010800,U016,29
1111010800,U013,60
1111010800,U014,53
1111010800,U015,81
1111010800,U017,49
1111010800,U018,56
1111010800,U019,75
1111010800,U020,58
1111010800,U022,43
1111010800,U021,85
1111010800,U023,65
1111010800,U024,77
1111010800,U027,48
1111010800,U025,75
1111010800,U026,74
1111010800,U028,58
1111010800,U030,59
1111010800,U029,61
1111010800,U031,48
1111010800,U033,39
1111010800,U032,65
1111010800,U035,37
1111010800,U034,74
1111010800,U036,67
1111010800,U037,65
1111010800,U038,65
1111010800,U039,48
1111010800,U040,71
1111010800,U041,71
1111010800,U042,58
1111010800,U043,70
1111010800,U044,51
1111010800,U045,71
1111010800,U046,51
1111010800,V001,52
1111010800,U047,54
1111010800,V002,37
1111010900,C003,38
1111010900,B001,56
1111010900,C001,84
1111010900,C002,69
1111010900,C004,95
1111010900,C005,55
1111010900,C006,87
1111010900,C007,63
1111010900,C009,77
1111010900,C008,89
1111010900,E001,75
1111010900,M001,86
1111010900,P001,84
1111010900,U003,43
1111010900,P002,71
1111010900,U002,75
1111010900,U004,84
1111010900,U006,78
1111010900,U007,74
1111010900,U009,66
1111010900,U010,82
1111010900,U005,49
1111010900,U001,68
1111010900,U012,66
1111010900,U013,79
1111010900,U014,64
1111010900,U016,53
1111010900,U008,87
1111010900,U015,99
1111010900,U017,60
1111010900,U011,91
1111010900,U018,82
1111010900,U019,94
1111010900,U020,69
1111010900,U022,57
1111010900,U023,96
1111010900,U021,103
1111010900,U024,95
1111010900,U025,96
1111010900,U027,66
1111010900,U026,92
1111010900,U028,72
1111010900,U029,87
1111010900,U030,89
1111010900,U031,69
1111010900,U033,50
1111010900,U032,83
1111010900,U034,93
1111010900,U035,48
1111010900,U036,85
1111010900,U039,59
1111010900,U037,82
1111010900,U038,101
1111010900,U040,85
1111010900,U041,89
1111010900,U042,77
1111010900,U043,89
1111010900,U044,65
1111010900,U045,87
1111010900,U046,70
1111010900,U047,65
1111010900,V001,70
1111010900,V002,55
1111011000,B001,41
1111011000,C003,15
1111011000,C002,52
1111011000,C005,37
1111011000,C001,71
1111011000,C004,79
1111011000,C006,68
1111011000,C007,48
1111011000,C008,74
1111011000,C009,59
1111011000,E001,58
1111011000,M001,68
1111011000,P001,71
1111011000,P002,55
1111011000,U002,58
1111011000,U001,53
1111011000,U004,66
1111011000,U003,30
1111011000,U006,59
1111011000,U007,57
1111011000,U005,37
1111011000,U009,44
1111011000,U008,68
1111011000,U011,78
1111011000,U010,69
1111011000,U012,49
1111011000,U013,62
1111011000,U016,32
1111011000,U014,51
1111011000,U015,82
1111011000,U017,47
1111011000,U018,59
