sttn_id,stop_number
4108417,72098
4108432,72075
4108567,73089
4108568,73105
4108659,74109
4108661,74111
4108738,76125
4108740,76137
4108830,79119
4108831,79118
4108892,80159
4108980,80243
4109048,80278
4109135,82073
4109136,82072
4109195,82044
4109208,82150
4109222,83113
4109227,83108
4109240,83121
4109241,83120
4109242,83119
4109243,83118
4109244,83117
4109245,83094
4109257,83132
4109269,83146
4109270,83145
4109300,83076
4109302,83074
4109304,83182
4109349,84217
4109400,84143
4109401,84142
4109527,85189
4109555,86071
4109556,86145
4109557,86149
4109558,86148
4109621,87176
4109629,87180
4109630,87147
4109633,87150
4109634,87151
4109635,87161
4109680,87189
4109718,88089
4109805,89090
4109806,89091
4109884,90188
4109899,90254
4109921,91193
4109935,91182
4109936,91181
4109959,92186
4110012,92049
4110020,92022
4110023,92027
4110024,92025
4110025,92113
4110028,92072
4111605,81059
4111610,81048
4111621,87087
4113255,87213
4113296,83161
4113393,87224
4113394,87225
4113635,86155
4113903,85181
4113904,85182
4113905,85183
4113906,85184
4113907,85185
4113908,85186
4114210,89123
4114220,83164
4114222,83166
4114227,83171
4114228,83172
4114297,83179
4114473,84255
4115472,84006
4115473,84007
4116133,87217
4116137,87049
4116138,87046
4116147,84054
4116148,84055
4116169,84093
4116170,84092
4116172,84096
4116174,84098
4116478,90286
4116479,90008
4116481,90253
4116482,90251
4116489,90069
4116497,90088
4116519,91092
4116520,91091
4116524,91076
4116527,91056
4116528,91058
4116529,91042
4116530,91041
4116532,91040
4116655,90068
4116660,90062
4117097,91078
4117099,91201
4117108,91129
4117110,91119
4117118,91102
4117124,92005
4117125,92008
4117126,92009
4117127,92011
4117129,92013
4117145,92093
4117147,92095
4117153,92102
4117162,92041
4117165,92067
4117168,92114
4117169,92047
4117174,92007
4118695,28467
4120819,91234
4120824,91236
4121300,90255
4121301,90006
4121305,90115
4121307,90258
4121322,90060
4121326,90055
4121327,90064
4121328,90067
4121329,90065
4121339,90043
4121340,90044
4121341,90123
4121342,90122
4121970,78085
4121974,78090
4121975,78086
4122585,82161
4122586,82160
4128,17102
4128036,28613
4130018,79035
4130019,79030
4130022,79026
4130025,79040
4130026,79041
4133,19327
4135003,71006
4135011,87092
4135012,87215
4136455,93032
4136457,92091
4136458,92090
4136459,92086
4136460,92087
4136461,92082
4136465,92058
4137,19324
414,19604
4142,19184
4144,19323
4151482,79057
4151498,79036
4151499,79032
4151502,79025
4151507,91115
4151508,91124
4151576,89122
4160025,74024
4160026,74020
4160034,74001
4160085,93019
4160087,93011
4160088,93008
4160089,93053
4160091,93065
4179434,92154
4179436,92155
4179438,91218
4179439,91125
4179440,91121
4179442,91126
4179445,91120
4179460,85045
4179468,84115
4179495,80055
4179496,80054
4195458,91146
4195461,91151
4195498,92147
4195889,79077
4195890,79076
4195891,79075
4195897,79069
4195900,79066
4195901,79065
4195902,79064
4195903,79063
4195906,79083
4195950,79091
4195957,79088
4195958,79087
4195960,79085
4195969,92149
4195983,75041
4195984,75040
4195985,75039
4195990,90148
4195991,91154
4196188,90150
4196662,83040
4196663,83039
4196664,83038
4196665,83037
4196667,83035
4196668,83034
4196669,83033
4196670,83032
4196672,83030
4196673,83029
4196674,83028
4196677,83027
4196678,83026
4196680,83024
4197141,75001
4197154,93081
4197158,93077
4197289,85187
4197290,86067
4197441,90151
4197443,90146
4197451,73023
4197455,72016
4197457,90144
4197615,76100
4197616,76096
4198640,90167
4199017,83043
4199022,83046
4199044,74062
4199045,74063
4199168,76086
4199172,76090
4199193,92136
4199195,92134
4199587,72014
458,02643
459,02699
460,02639
463,02649
474,02695
476,02693
479,02652
481,03680
483,02694
4853,22157
490,23931
491,23328
