구분,사용 내용,이름,링크,제공서비스,제공기관
통계 지표,자치구별 통계 확인,음주운전교통사고비율,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL14001&conn_path=I2,KOSIS,경찰청
통계 지표,자치구별 통계 확인,뺑소니교통사고율,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL13901&conn_path=I2,KOSIS,경찰청
통계 지표,자치구별 통계 확인,자동차천대당교통사고발생건수,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL21051&conn_path=I2,KOSIS,경찰청
통계 지표,자치구별 통계 확인,자동차등록대수,https://kosis.kr/statHtml/statHtml.do?orgId=110&tblId=DT_110001_A029&conn_path=I2,KOSIS,행정안전부
통계 지표,자치구별 통계 확인,GRDP,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1C65_03E&conn_path=I2,KOSIS,국가데이터처
통계 지표,자치구별 통계 확인,주택수,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=INH_1JU1501&conn_path=I2,KOSIS,국가데이터처
통계 지표,자치구별 통계 확인,지가변동률,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL20881E&conn_path=I2,KOSIS,한국부동산원
통계 지표,자치구별 통계 확인,주민등록인구,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL20651E&conn_path=I2,KOSIS,행정안전부
통계 지표,자치구별 통계 확인,인구총조사 고령인구비율,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL20632&conn_path=I2,KOSIS,국가데이터처
통계 지표,자치구별 통계 확인,인구총조사 청년인구비율,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL20643&conn_path=I2,KOSIS,국가데이터처
통계 지표,자치구별 통계 확인,녹지율,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL202105E&conn_path=I2,KOSIS,한국국토정보공사
안전 지도,안전 지도 레이어,범죄주의구간(전체),https://www.safemap.go.kr/opna/data/dataViewRenew.do?objtId=205,생활안전정보,경찰청
AI 에이전트,AI 에이전트 응답을 위한 API 활용,mindlogic API Gateway,https://docs.mindlogic.ai/docs/general/gateway/getting-started/overview#api-gateway,mindlogic Docs,마인드로직
AI 에이전트,AI 에이전트 응답을 위한 API 활용,OpenAI API,https://openai.com/ko-KR/index/openai-api/,OpenAI,OpenAI
